GENESIS-Tabelle: 61111-0002
Verbraucherpreisindex: Deutschland, Monate;;;;
Verbraucherpreisindex für Deutschland;;;;
Deutschland;;;;
;;Verbraucherpreisindex;Veränderung zum Vorjahresmonat;Veränderung zum Vormonat
1997;November;73,6;+2,2;-
1997;Dezember;73,8;+2,1;+0,3
1998;Januar;73,8;+1,2;-
1998;Februar;73,9;+1,2;+0,1
1998;März;73,8;+1,1;-0,1
1998;April;73,9;+1,4;+0,1
1998;Mai;74,0;+1,2;+0,1
1998;Juni;74,1;+1,4;+0,1
1998;Juli;74,4;+0,8;+0,4
1998;August;74,2;+0,5;-0,3
1998;September;74,0;+0,4;-0,3
1998;Oktober;73,9;+0,4;-0,1
1998;November;73,9;+0,4;-
1998;Dezember;74,0;+0,3;+0,1
1999;Januar;73,9;+0,1;-0,1
1999;Februar;74,0;+0,1;+0,1
1999;März;74,0;+0,3;-
1999;April;74,4;+0,7;+0,5
1999;Mai;74,4;+0,5;-
1999;Juni;74,5;+0,5;+0,1
1999;Juli;74,8;+0,5;+0,4
1999;August;74,8;+0,8;-
1999;September;74,6;+0,8;-0,3
1999;Oktober;74,5;+0,8;-0,1
1999;November;74,7;+1,1;+0,3
1999;Dezember;74,9;+1,2;+0,3
2000;Januar;75,1;+1,6;+0,3
2000;Februar;75,1;+1,5;-
2000;März;75,1;+1,5;-
2000;April;75,1;+0,9;-
2000;Mai;75,1;+0,9;-
2000;Juni;75,4;+1,2;+0,4
2000;Juli;75,8;+1,3;+0,5
2000;August;75,6;+1,1;-0,3
2000;September;75,8;+1,6;+0,3
2000;Oktober;75,7;+1,6;-0,1
2000;November;75,8;+1,5;+0,1
2000;Dezember;76,4;+2,0;+0,8
2001;Januar;76,2;+1,5;-0,3
2001;Februar;76,6;+2,0;+0,5
2001;März;76,6;+2,0;-
2001;April;76,9;+2,4;+0,4
2001;Mai;77,2;+2,8;+0,4
2001;Juni;77,3;+2,5;+0,1
2001;Juli;77,4;+2,1;+0,1
2001;August;77,2;+2,1;-0,3
2001;September;77,2;+1,8;-
2001;Oktober;77,1;+1,8;-0,1
2001;November;76,9;+1,5;-0,3
2001;Dezember;77,7;+1,7;+1,0
2002;Januar;77,7;+2,0;-
2002;Februar;78,0;+1,8;+0,4
2002;März;78,2;+2,1;+0,3
2002;April;78,1;+1,6;-0,1
2002;Mai;78,2;+1,3;+0,1
2002;Juni;78,2;+1,2;-
2002;Juli;78,3;+1,2;+0,1
2002;August;78,2;+1,3;-0,1
2002;September;78,2;+1,3;-
2002;Oktober;78,1;+1,3;-0,1
2002;November;77,8;+1,2;-0,4
2002;Dezember;78,5;+1,0;+0,9
2003;Januar;78,5;+1,0;-
2003;Februar;79,0;+1,3;+0,6
2003;März;79,0;+1,0;-
2003;April;78,8;+0,9;-0,3
2003;Mai;78,6;+0,5;-0,3
2003;Juni;78,9;+0,9;+0,4
2003;Juli;79,0;+0,9;+0,1
2003;August;79,0;+1,0;-
2003;September;79,0;+1,0;-
2003;Oktober;79,0;+1,2;-
2003;November;78,8;+1,3;-0,3
2003;Dezember;79,4;+1,1;+0,8
2004;Januar;79,4;+1,1;-
2004;Februar;79,6;+0,8;+0,3
2004;März;79,9;+1,1;+0,4
2004;April;80,1;+1,6;+0,3
2004;Mai;80,3;+2,2;+0,2
2004;Juni;80,3;+1,8;-
2004;Juli;80,4;+1,8;+0,1
2004;August;80,5;+1,9;+0,1
2004;September;80,3;+1,6;-0,2
2004;Oktober;80,4;+1,8;+0,1
2004;November;80,3;+1,9;-0,1
2004;Dezember;81,2;+2,3;+1,1
2005;Januar;80,6;+1,5;-0,7
2005;Februar;80,9;+1,6;+0,4
2005;März;81,3;+1,8;+0,5
2005;April;81,0;+1,1;-0,4
2005;Mai;81,2;+1,1;+0,2
2005;Juni;81,3;+1,2;+0,1
2005;Juli;81,7;+1,6;+0,5
2005;August;81,8;+1,6;+0,1
2005;September;81,9;+2,0;+0,1
2005;Oktober;81,9;+1,9;-
2005;November;81,7;+1,7;-0,2
2005;Dezember;82,3;+1,4;+0,7
2006;Januar;82,0;+1,7;-0,4
2006;Februar;82,4;+1,9;+0,5
2006;März;82,4;+1,4;-
2006;April;82,7;+2,1;+0,4
2006;Mai;82,7;+1,8;-
2006;Juni;82,9;+2,0;+0,2
2006;Juli;83,2;+1,8;+0,4
2006;August;83,0;+1,5;-0,2
2006;September;82,7;+1,0;-0,4
2006;Oktober;82,8;+1,1;+0,1
2006;November;82,8;+1,3;-
2006;Dezember;83,5;+1,5;+0,8
2007;Januar;83,5;+1,8;-
2007;Februar;83,8;+1,7;+0,4
2007;März;84,0;+1,9;+0,2
2007;April;84,4;+2,1;+0,5
2007;Mai;84,4;+2,1;-
2007;Juni;84,5;+1,9;+0,1
2007;Juli;84,9;+2,0;+0,5
2007;August;84,8;+2,2;-0,1
2007;September;84,9;+2,7;+0,1
2007;Oktober;85,1;+2,8;+0,2
2007;November;85,6;+3,4;+0,6
2007;Dezember;86,1;+3,1;+0,6
2008;Januar;85,8;+2,8;-0,3
2008;Februar;86,2;+2,9;+0,5
2008;März;86,6;+3,1;+0,5
2008;April;86,4;+2,4;-0,2
2008;Mai;86,9;+3,0;+0,6
2008;Juni;87,2;+3,2;+0,3
2008;Juli;87,7;+3,3;+0,6
2008;August;87,4;+3,1;-0,3
2008;September;87,4;+2,9;-
2008;Oktober;87,2;+2,5;-0,2
2008;November;86,8;+1,4;-0,5
2008;Dezember;87,0;+1,0;+0,2
2009;Januar;86,6;+0,9;-0,5
2009;Februar;87,1;+1,0;+0,6
2009;März;87,0;+0,5;-0,1
2009;April;87,0;+0,7;-
2009;Mai;87,0;+0,1;-
2009;Juni;87,3;+0,1;+0,3
2009;Juli;87,3;-0,5;-
2009;August;87,5;+0,1;+0,2
2009;September;87,1;-0,3;-0,5
2009;Oktober;87,2;-;+0,1
2009;November;87,1;+0,3;-0,1
2009;Dezember;87,8;+0,9;+0,8
2010;Januar;87,3;+0,8;-0,6
2010;Februar;87,6;+0,6;+0,3
2010;März;88,1;+1,3;+0,6
2010;April;88,1;+1,3;-
2010;Mai;88,1;+1,3;-
2010;Juni;88,1;+0,9;-
2010;Juli;88,2;+1,0;+0,1
2010;August;88,3;+0,9;+0,1
2010;September;88,2;+1,3;-0,1
2010;Oktober;88,3;+1,3;+0,1
2010;November;88,4;+1,5;+0,1
2010;Dezember;89,0;+1,4;+0,7
2011;Januar;88,7;+1,6;-0,3
2011;Februar;89,3;+1,9;+0,7
2011;März;89,8;+1,9;+0,6
2011;April;89,8;+1,9;-
2011;Mai;89,8;+1,9;-
2011;Juni;89,9;+2,0;+0,1
2011;Juli;90,1;+2,2;+0,2
2011;August;90,2;+2,2;+0,1
2011;September;90,3;+2,4;+0,1
2011;Oktober;90,4;+2,4;+0,1
2011;November;90,5;+2,4;+0,1
2011;Dezember;90,7;+1,9;+0,2
2012;Januar;90,6;+2,1;-0,1
2012;Februar;91,2;+2,1;+0,7
2012;März;91,7;+2,1;+0,5
2012;April;91,6;+2,0;-0,1
2012;Mai;91,5;+1,9;-0,1
2012;Juni;91,4;+1,7;-0,1
2012;Juli;91,7;+1,8;+0,3
2012;August;92,1;+2,1;+0,4
2012;September;92,2;+2,1;+0,1
2012;Oktober;92,2;+2,0;-
2012;November;92,2;+1,9;-
2012;Dezember;92,5;+2,0;+0,3
2013;Januar;92,1;+1,7;-0,4
2013;Februar;92,6;+1,5;+0,5
2013;März;93,0;+1,4;+0,4
2013;April;92,6;+1,1;-0,4
2013;Mai;93,0;+1,6;+0,4
2013;Juni;93,1;+1,9;+0,1
2013;Juli;93,5;+2,0;+0,4
2013;August;93,5;+1,5;-
2013;September;93,5;+1,4;-
2013;Oktober;93,3;+1,2;-0,2
2013;November;93,5;+1,4;+0,2
2013;Dezember;93,9;+1,5;+0,4
2014;Januar;93,3;+1,3;-0,6
2014;Februar;93,8;+1,3;+0,5
2014;März;94,0;+1,1;+0,2
2014;April;93,9;+1,4;-0,1
2014;Mai;93,8;+0,9;-0,1
2014;Juni;94,0;+1,0;+0,2
2014;Juli;94,3;+0,9;+0,3
2014;August;94,3;+0,9;-
2014;September;94,3;+0,9;-
2014;Oktober;94,1;+0,9;-0,2
2014;November;94,1;+0,6;-
2014;Dezember;94,0;+0,1;-0,1
2015;Januar;93,1;-0,2;-1,0
2015;Februar;93,8;-;+0,8
2015;März;94,3;+0,3;+0,5
2015;April;94,7;+0,9;+0,4
2015;Mai;94,9;+1,2;+0,2
2015;Juni;94,9;+1,0;-
2015;Juli;95,1;+0,8;+0,2
2015;August;95,0;+0,7;-0,1
2015;September;94,9;+0,6;-0,1
2015;Oktober;94,9;+0,9;-
2015;November;94,3;+0,2;-0,6
2015;Dezember;94,3;+0,3;-
2016;Januar;93,6;+0,5;-0,7
2016;Februar;93,9;+0,1;+0,3
2016;März;94,5;+0,2;+0,6
2016;April;94,6;-0,1;+0,1
2016;Mai;95,1;+0,2;+0,5
2016;Juni;95,2;+0,3;+0,1
2016;Juli;95,5;+0,4;+0,3
2016;August;95,4;+0,4;-0,1
2016;September;95,5;+0,6;+0,1
2016;Oktober;95,6;+0,7;+0,1
2016;November;95,0;+0,7;-0,6
2016;Dezember;95,6;+1,4;+0,6
2017;Januar;95,1;+1,6;-0,5
2017;Februar;95,6;+1,8;+0,5
2017;März;95,8;+1,4;+0,2
2017;April;96,2;+1,7;+0,4
2017;Mai;96,2;+1,2;-
2017;Juni;96,5;+1,4;+0,3
2017;Juli;96,9;+1,5;+0,4
2017;August;97,0;+1,7;+0,1
2017;September;97,0;+1,6;-
2017;Oktober;96,9;+1,4;-0,1
2017;November;96,5;+1,6;-0,4
2017;Dezember;96,9;+1,4;+0,4
2018;Januar;96,4;+1,4;-0,5
2018;Februar;96,7;+1,2;+0,3
2018;März;97,2;+1,5;+0,5
2018;April;97,5;+1,4;+0,3
2018;Mai;98,2;+2,1;+0,7
2018;Juni;98,3;+1,9;+0,1
2018;Juli;98,7;+1,9;+0,4
2018;August;98,8;+1,9;+0,1
2018;September;99,0;+2,1;+0,2
2018;Oktober;99,1;+2,3;+0,1
2018;November;98,5;+2,1;-0,6
2018;Dezember;98,5;+1,7;-
2019;Januar;97,7;+1,3;-0,8
2019;Februar;98,1;+1,4;+0,4
2019;März;98,5;+1,3;+0,4
2019;April;99,4;+1,9;+0,9
2019;Mai;99,6;+1,4;+0,2
2019;Juni;99,9;+1,6;+0,3
2019;Juli;100,3;+1,6;+0,4
2019;August;100,2;+1,4;-0,1
2019;September;100,2;+1,2;-
2019;Oktober;100,2;+1,1;-
2019;November;99,5;+1,0;-0,7
2019;Dezember;100,0;+1,5;+0,5
2020;Januar;99,8;+2,1;-0,2
2020;Februar;100,1;+2,0;+0,3
2020;März;100,3;+1,8;+0,2
2020;April;100,4;+1,0;+0,1
2020;Mai;100,4;+0,8;-
2020;Juni;100,5;+0,6;+0,1
2020;Juli;99,7;-0,6;-0,8
2020;August;99,7;-0,5;-
2020;September;99,7;-0,5;-
2020;Oktober;99,9;-0,3;+0,2
2020;November;99,7;+0,2;-0,2
2020;Dezember;99,8;-0,2;+0,1
2021;Januar;101,0;+1,2;+1,2
2021;Februar;101,6;+1,5;+0,6
2021;März;102,1;+1,8;+0,5
2021;April;102,4;+2,0;+0,3
2021;Mai;102,6;+2,2;+0,2
2021;Juni;102,9;+2,4;+0,3
2021;Juli;103,4;+3,7;+0,5
2021;August;103,5;+3,8;+0,1
2021;September;103,8;+4,1;+0,3
2021;Oktober;104,3;+4,4;+0,5
2021;November;104,5;+4,8;+0,2
2021;Dezember;104,7;+4,9;+0,2
2022;Januar;105,2;+4,2;+0,5
2022;Februar;106,0;+4,3;+0,8
2022;März;108,1;+5,9;+2,0
2022;April;108,8;+6,3;+0,6
2022;Mai;109,8;+7,0;+0,9
2022;Juni;109,8;+6,7;-
2022;Juli;110,3;+6,7;+0,5
2022;August;110,7;+7,0;+0,4
2022;September;112,7;+8,6;+1,8
2022;Oktober;113,5;+8,8;+0,7
2022;November;113,7;+8,8;+0,2
2022;Dezember;113,2;+8,1;-0,4
2023;Januar;114,3;+8,7;+1,0
2023;Februar;115,2;+8,7;+0,8
2023;März;116,1;+7,4;+0,8
2023;April;116,6;+7,2;+0,4
2023;Mai;116,5;+6,1;-0,1
2023;Juni;116,8;+6,4;+0,3
2023;Juli;117,1;+6,2;+0,3
2023;August;...;...;...
2023;September;...;...;...
2023;Oktober;...;...;...
2023;November;...;...;...
2023;Dezember;...;...;...
__________
© Statistisches Bundesamt (Destatis), 2023
Stand: 06.09.2023 / 16:09:16
